"","pn","ay","out_cit"
"1","US4961310",1989,"US2443054"
"2","US4961310",1989,"US2929218"
"3","US4961310",1989,"US3658438"
"4","US4961310",1989,"US3556672"
"5","US4961310",1989,"US3098190"
"6","US4961310",1989,"US4744726"
"7","US4961310",1989,"JP1987038525A"
"8","US4961310",1989,"US4519207"
"9","US4961310",1989,"US3198954"
"10","US5447025",1994,"US4204804"
"11","US5447025",1994,"US4961310"
"12","US5447025",1994,"US5326222"
"13","US5447025",1994,"US2443054"
"14","US6698182",2002,"CA2093185A1"
"15","US6698182",2002,"JP1998018809A"
"16","US6698182",2002,"US6223523"
"17","US6698182",2002,"JP1994010706A"
"18","US6698182",2002,"EP0709561A1"
"19","US6698182",2002,"JP1999117714A"
"20","US6698182",2002,"JP1994330709A"
"21","US6698182",2002,"JP2001280103A"
"22","US6698182",2002,"JP1988030709A"
"23","US6698182",2002,"JP1995208116A"
"24","US6698182",2002,"US5357746"
"25","US6698182",2002,"US5386687"
"26","US6698182",2002,"JP1990283803A"
"27","US6698182",2002,"US6089012"
"28","US6698182",2002,"US6212873"
"29","US6698182",2002,"JP1999173111A"
"30","US6698182",2002,"JP1998196316A"
"31","US6698182",2002,"JP1999117712A"
"32","US6698182",2002,"US6530208"
"33","US6698182",2002,"JP2002280103A"
"34","US6698182",2002,"US4932204"
"35","US6698182",2002,"JP1996260913A"
"36","US6698182",2002,"US6389797"
"37","US6698182",2002,"US6244039"
"38","US6698182",2002,"US6018942"
"39","US6772581",2000,"US6390769"
"40","US6772581",2000,"US6367242"
"41","US6772581",2000,"JP2568645B2"
"42","US6772581",2000,"US5205115"
"43","US6772581",2000,"US5685693"
"44","US6772581",2000,"US6089012"
"45","US6772581",2000,"US6149074"
