"","pn","ay","out_cit"
"1","US4969325",1989,"US4159624"
"2","US4969325",1989,"US4005575"
"3","US4969325",1989,"US4251987"
"4","US4969325",1989,"GB2129502A"
"5","US4969325",1989,"US3729957"
"6","US4969325",1989,"US3673802"
"7","US6082967",1998,"US4751816"
"8","US6082967",1998,"FR2573816A1"
"9","US6082967",1998,"US4738590"
"10","US6082967",1998,"GB1411380A"
"11","US6082967",1998,"GB2174762A"
"12","US6082967",1998,"DE2559172A1"
"13","US6082967",1998,"FR2197111A1"
"14","US6381948",1999,"US5079916"
"15","US6381948",1999,"US4563129"
"16","US6381948",1999,"US4860537"
"17","US6381948",1999,"US3087553"
"18","US6381948",1999,"US4969325"
"19","US6381948",1999,"US2584115"
"20","US6381948",1999,"US5010729"
"21","US6381948",1999,"US2404767"
"22","US6381948",1999,"US1879142"
"23","US6381948",1999,"US5274999"
"24","US6381948",1999,"US1330145"
"25","US7458773",2005,"US20070006569A1"
"26","US7458773",2005,"US4744214"
"27","US7458773",2005,"EP0298014A1"
"28","US7458773",2005,"EP1403485A2"
"29","US7458773",2005,"US20040055276A1"
"30","US7458773",2005,"EP0521379A1"
"31","US7458773",2005,"US4375906"
"32","US7458773",2005,"US5274999"
"33","US8887487",2012,"US20030163983A1"
"34","US8887487",2012,"US20050279100A1"
"35","US8887487",2012,"US20060288686A1"
"36","US8887487",2012,"US20100005810A1"
"37","US8887487",2012,"US3754484"
"38","US8887487",2012,"US20120017603A1"
"39","US8887487",2012,"US20100080700A1"
"40","US8887487",2012,"US20030163984A1"
"41","US8887487",2012,"US20070022735A1"
"42","US8887487",2012,"US20100126141A1"
"43","US8887487",2012,"US4660376"
"44","US8887487",2012,"US2748623"
"45","US8887487",2012,"US20100132376A1"
"46","US8887487",2012,"US20080098718A1"
"47","US8887487",2012,"US3033002"
"48","US8887487",2012,"US20100326050A1"
"49","US8887487",2012,"US5074109"
"50","US8887487",2012,"US20080148881A1"
"51","US8887487",2012,"US20090090096A1"
"52","US8887487",2012,"US6708482"
"53","US8887487",2012,"US5971706"
"54","US8887487",2012,"US20060101804A1"
"55","US8887487",2012,"US6339927"
"56","US8887487",2012,"US3673802"
"57","US8887487",2012,"US20090229242A1"
"58","US8887487",2012,"US20090056343A1"
"59","US8887487",2012,"US6381948"
"60","US8887487",2012,"US20090288384A1"
"61","US8887487",2012,"US20060130456A1"
"62","US8887487",2012,"US3747343"
"63","US8887487",2012,"US3111005"
"64","US8887487",2012,"US7600370"
"65","US8887487",2012,"US5307622"
"66","US8887487",2012,"US3526092"
"67","US8887487",2012,"US20090145102A1"
"68","US8887487",2012,"US20060179818A1"
"69","US8887487",2012,"US8015828"
"70","US8887487",2012,"US7716914"
"71","US8887487",2012,"US3713748"
"72","US8887487",2012,"US4809498"
